date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
02:58:05	104/104	---M-Z	200	added ('OK')	text/plain	date:Fri,%2031%20Oct%202014%2007:58:04%20GMT	http://soliloquywp.com/robots.txt		(from )
02:58:06	44950/44950	---M-Z	200	added ('OK')	text/html	date:Fri,%2031%20Oct%202014%2007:58:05%20GMT	http://soliloquywp.com/	/home/anb/sites/httrack/httrack/soliloquywp.com/index.html	(from )
02:58:07	5842/5842	---MC-	200	added ('OK')	text/html	date:Fri,%2031%20Oct%202014%2007:58:06%20GMT	http://gmpg.org/xfn/11	/home/anb/sites/httrack/httrack/gmpg.org/xfn/11.html	(from http://soliloquywp.com/)
02:58:09	220/220	---MCZ	302	error ('Moved%20Temporarily')	text/html	date:Fri,%2031%20Oct%202014%2007:58:09%20GMT	https://plus.google.com/114044312047618704188	/home/anb/sites/httrack/httrack/plus.google.com/114044312047618704188.1.delayed	(from http://soliloquywp.com/)
02:58:09	42/42	---MC-	200	added ('OK')	text/plain	date:Fri,%2031%20Oct%202014%2007:58:09%20GMT	http://soliloquywp.com/xmlrpc.php	/home/anb/sites/httrack/httrack/soliloquywp.com/xmlrpc.php	(from http://soliloquywp.com/)
02:58:10	1456/1456	---M--	200	added ('OK')	image/png	etag:%225b0-5056a018c14b3%22	http://soliloquywp.com/wp-content/themes/soliloquy-v3/images/favicon.png	/home/anb/sites/httrack/httrack/soliloquywp.com/wp-content/themes/soliloquy-v3/images/favicon.png	(from http://soliloquywp.com/)
02:58:10	99548/99548	---M-Z	200	added ('OK')	text/css	etag:%22184dc-5056a018bd634-gzip%22	http://soliloquywp.com/wp-content/themes/soliloquy-v3/css/bootstrap.min.css	/home/anb/sites/httrack/httrack/soliloquywp.com/wp-content/themes/soliloquy-v3/css/bootstrap.min.css	(from http://soliloquywp.com/)
02:58:11	25197/25197	---MCZ	200	added ('OK')	text/css	etag:W/%22e4e5f0ff7d97d2851d8f06c26a4e302b%22	http://netdna.bootstrapcdn.com/font-awesome/4.1.0/css/font-awesome.css	/home/anb/sites/httrack/httrack/netdna.bootstrapcdn.com/font-awesome/4.1.0/css/font-awesome.css	(from http://soliloquywp.com/)
02:58:11	45615/45615	---M-Z	200	added ('OK')	text/css	etag:%22b22f-5056a018c2453-gzip%22	http://soliloquywp.com/wp-content/themes/soliloquy-v3/style.css	/home/anb/sites/httrack/httrack/soliloquywp.com/wp-content/themes/soliloquy-v3/style.css	(from http://soliloquywp.com/)
02:58:12	23441/23441	---M-Z	200	added ('OK')	text/javascript	date:Fri,%2031%20Oct%202014%2007:54:21%20GMT	http://use.typekit.net/hmd7rkb.js	/home/anb/sites/httrack/httrack/use.typekit.net/hmd7rkb.js	(from http://soliloquywp.com/)
