date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
08:06:05	313/313	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2028%20Oct%202014%2013:06:05%20GMT	http://htmlstream.com/preview/unify-v1.5	/home/anb/sites/httrack/httrack/htmlstream.com/preview/unify-v1.0.delayed	(from )
08:06:07	44945/44945	---M-Z	200	added ('OK')	text/html	date:Tue,%2028%20Oct%202014%2013:06:05%20GMT	http://soliloquywp.com/	/home/anb/sites/httrack/httrack/soliloquywp.com/index.html	(from )
08:06:08	61643/61643	---M-Z	200	added ('OK')	text/html	date:Tue,%2028%20Oct%202014%2013:06:08%20GMT	http://htmlstream.com/preview/unify-v1.5/	/home/anb/sites/httrack/httrack/htmlstream.com/preview/unify-v1.5/index.html	(from )
08:06:10	104/104	---M-Z	200	added ('OK')	text/plain	date:Tue,%2028%20Oct%202014%2013:06:10%20GMT	http://soliloquywp.com/robots.txt		(from )
08:06:12	42/42	---MC-	200	added ('OK')	text/plain	date:Tue,%2028%20Oct%202014%2013:06:12%20GMT	http://soliloquywp.com/xmlrpc.php	/home/anb/sites/httrack/httrack/soliloquywp.com/xmlrpc.php	(from http://soliloquywp.com/)
08:06:15	1456/1456	---M--	200	added ('OK')	image/png	etag:%225b0-5056a018c14b3%22	http://soliloquywp.com/wp-content/themes/soliloquy-v3/images/favicon.png	/home/anb/sites/httrack/httrack/soliloquywp.com/wp-content/themes/soliloquy-v3/images/favicon.png	(from http://soliloquywp.com/)
08:06:20	99548/99548	---M-Z	200	added ('OK')	text/css	etag:%22184dc-5056a018bd634-gzip%22	http://soliloquywp.com/wp-content/themes/soliloquy-v3/css/bootstrap.min.css	/home/anb/sites/httrack/httrack/soliloquywp.com/wp-content/themes/soliloquy-v3/css/bootstrap.min.css	(from http://soliloquywp.com/)
08:06:25	25197/25197	---MCZ	200	added ('OK')	text/css	etag:W/%22e4e5f0ff7d97d2851d8f06c26a4e302b%22	http://netdna.bootstrapcdn.com/font-awesome/4.1.0/css/font-awesome.css	/home/anb/sites/httrack/httrack/netdna.bootstrapcdn.com/font-awesome/4.1.0/css/font-awesome.css	(from http://soliloquywp.com/)
08:06:34	45615/45615	---M-Z	200	added ('OK')	text/css	etag:%22b22f-5056a018c2453-gzip%22	http://soliloquywp.com/wp-content/themes/soliloquy-v3/style.css	/home/anb/sites/httrack/httrack/soliloquywp.com/wp-content/themes/soliloquy-v3/style.css	(from http://soliloquywp.com/)
08:06:42	16590/16590	---M-Z	200	added ('OK')	text/css	etag:%2240ce-505e1a88a0b54-gzip%22	http://soliloquywp.com/wp-content/plugins/easy-digital-downloads/templates/edd.min.css?ver=2.1.7	/home/anb/sites/httrack/httrack/soliloquywp.com/wp-content/plugins/easy-digital-downloads/templates/edd.mine7f3.css	(from http://soliloquywp.com/)
